Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
3,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0
4,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0
5,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0
6,3,1,0,1,2,0,0,0,0,0,0,2,1,0,0,1,0.0,0.0
7,7,1,0,1,6,0,0,0,0,0,0,6,1,0,0,1,0.01,0.0
8,9,1,0,1,8,0,0,0,0,0,0,8,1,0,0,1,0.01,0.0
9,17,3,0,2,15,0,3,1,0,0,0,12,2,0,0,2,0.01,0.0
10,20,10,0,2,18,1,4,3,1,0,0,14,7,0,0,2,0.02,0.0
11,30,15,0,2,28,1,11,4,1,0,0,17,11,0,0,2,0.03,0.0
12,45,23,0,2,43,2,20,9,1,0,0,23,14,1,0,2,0.04,0.0
13,61,33,0,2,59,2,26,14,1,0,0,33,19,1,0,2,0.06,0.0
14,85,45,0,2,83,4,32,18,2,0,0,51,27,2,0,2,0.08,0.0
15,109,63,0,4,105,5,40,22,1,0,2,65,41,4,0,2,0.1,0.0
16,150,84,0,7,143,9,51,29,1,0,3,92,55,8,0,4,0.14,0.0
17,187,111,0,8,179,11,58,41,3,0,4,121,70,8,0,4,0.18,0.0
18,242,148,1,13,228,13,77,59,5,0,6,151,89,8,1,7,0.23,0.0
19,305,191,1,19,285,15,103,76,4,0,9,182,115,11,1,10,0.28,0.0
20,368,243,1,28,339,16,124,99,4,0,13,215,144,12,1,15,0.34,0.0
21,433,304,2,36,395,24,153,120,9,0,16,242,184,15,2,20,0.4,0.0
22,506,367,2,46,458,33,193,146,15,0,20,265,221,18,2,26,0.46,0.0
23,591,439,3,61,527,45,234,171,19,0,24,293,268,26,3,37,0.53,0.01
24,660,513,3,84,573,51,271,206,21,0,34,302,307,30,3,50,0.57,0.0
25,726,589,4,113,609,56,292,247,25,0,53,317,342,31,4,60,0.61,0.01
26,782,663,4,144,634,61,325,289,31,0,67,309,374,30,4,77,0.63,0.01
27,829,720,4,179,646,71,334,328,36,0,83,312,392,35,4,96,0.65,0.0
28,888,765,4,220,664,73,344,355,39,0,97,320,410,34,4,123,0.66,0.0
29,927,825,4,276,647,73,348,391,36,0,123,299,434,37,4,153,0.65,0.0
30,942,878,4,346,592,73,331,427,35,0,159,261,451,38,4,187,0.59,0.0
31,956,908,4,403,549,69,314,445,33,0,187,235,463,36,4,216,0.55,0.0
32,969,932,5,455,509,65,285,459,32,1,219,224,473,33,4,236,0.51,0.01
33,977,951,5,518,454,60,254,472,31,1,247,200,479,29,4,271,0.45,0.01
34,983,964,5,579,399,54,222,479,29,1,280,177,485,25,4,299,0.4,0.01
35,990,969,6,651,333,46,183,484,29,1,319,150,485,17,5,332,0.33,0.01
36,992,977,6,715,271,38,151,489,27,1,350,120,488,11,5,365,0.27,0.01
37,993,980,6,759,228,35,126,490,24,1,376,102,490,11,5,383,0.23,0.01
38,993,982,6,808,179,27,99,491,18,1,406,80,491,9,5,402,0.18,0.01
39,994,984,8,850,136,21,75,493,15,2,428,61,491,6,6,422,0.14,0.01
40,994,986,8,877,109,18,61,495,14,2,445,48,491,4,6,432,0.11,0.01
41,994,986,8,907,79,12,48,495,9,2,458,31,491,3,6,449,0.08,0.01
42,995,987,8,930,57,10,39,495,7,2,468,18,492,3,6,462,0.06,0.01
43,995,987,9,946,40,5,27,495,3,3,478,13,492,2,6,468,0.04,0.01
44,995,987,9,955,31,3,19,495,1,3,486,12,492,2,6,469,0.03,0.01
45,995,988,9,963,23,2,13,495,0,3,492,10,493,2,6,471,0.02,0.01
46,996,988,9,970,17,1,10,495,0,3,497,7,493,1,6,473,0.02,0.01
47,996,989,10,972,14,0,9,496,0,3,498,5,493,0,7,474,0.01,0.01
48,996,989,10,977,9,0,5,496,0,3,502,4,493,0,7,475,0.01,0.01
49,996,989,10,978,8,0,4,496,0,3,503,4,493,0,7,475,0.01,0.01
50,996,989,10,979,7,0,5,496,0,3,503,2,493,0,7,476,0.01,0.01
51,996,989,10,981,5,0,4,496,0,3,504,1,493,0,7,477,0.01,0.01
52,996,989,10,983,3,0,2,496,0,3,506,1,493,0,7,477,0.0,0.01
53,996,989,10,984,2,0,1,496,0,3,507,1,493,0,7,477,0.0,0.01
54,996,989,10,984,2,0,1,496,0,3,507,1,493,0,7,477,0.0,0.01
55,996,989,10,985,1,0,0,496,0,3,508,1,493,0,7,477,0.0,0.01
56,996,989,10,985,1,0,0,496,0,3,508,1,493,0,7,477,0.0,0.01
57,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
58,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
59,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
60,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
61,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
62,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
63,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
64,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
65,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
66,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
67,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
68,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
69,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
70,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
71,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
72,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
73,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
74,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
75,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
76,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
77,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
78,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
79,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
80,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
81,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
82,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
83,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
84,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
85,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
86,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
87,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
88,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
89,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
90,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
91,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
92,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
93,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
94,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
95,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
96,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
97,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
98,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
99,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
100,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
101,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
102,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
103,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
104,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
105,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
106,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
107,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
108,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
109,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
110,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
111,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
112,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
113,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
114,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
115,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
116,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
117,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
118,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
119,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
120,996,989,10,986,0,0,0,496,0,3,508,0,493,0,7,478,0.0,0.01
