Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
4,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
5,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0.0,0.0
6,3,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0
7,3,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0
8,4,1,0,1,3,0,3,1,0,0,1,0,0,0,0,0,0.0,0.0
9,4,1,0,1,3,0,3,1,0,0,1,0,0,0,0,0,0.0,0.0
10,7,1,0,2,5,0,5,1,0,0,2,0,0,0,0,0,0.0,0.0
11,10,1,0,2,8,1,8,1,1,0,2,0,0,0,0,0,0.0,0.0
12,15,3,0,2,13,1,13,3,1,0,2,0,0,0,0,0,0.01,0.0
13,17,3,0,2,15,1,15,3,1,0,2,0,0,0,0,0,0.01,0.0
14,28,4,0,2,26,1,26,4,1,0,2,0,0,0,0,0,0.01,0.0
15,37,5,0,2,35,2,35,5,2,0,2,0,0,0,0,0,0.02,0.0
16,47,12,0,2,45,2,45,12,2,0,2,0,0,0,0,0,0.02,0.0
17,60,12,0,3,57,2,57,12,2,0,3,0,0,0,0,0,0.03,0.0
18,76,14,0,6,70,5,68,14,5,0,6,2,0,0,0,0,0.04,0.0
19,100,18,0,8,92,7,85,18,7,0,8,7,0,0,0,0,0.05,0.0
20,132,22,0,9,123,9,113,21,9,0,9,10,1,0,0,0,0.06,0.0
21,170,31,2,10,158,10,143,30,10,2,10,15,1,0,0,0,0.08,0.01
22,224,43,2,12,210,15,192,42,13,2,12,18,1,2,0,0,0.1,0.01
23,290,57,2,18,270,20,233,52,17,2,18,37,5,3,0,0,0.14,0.01
24,383,74,3,25,355,23,299,66,19,3,24,56,8,4,0,1,0.18,0.01
25,491,94,4,31,456,27,366,83,23,4,30,90,11,4,0,1,0.23,0.01
26,613,128,4,45,564,30,441,113,26,4,42,123,15,4,0,3,0.28,0.01
27,751,163,4,57,690,39,527,138,32,4,51,163,25,7,0,6,0.34,0.01
28,877,203,4,77,796,49,583,164,40,4,65,213,39,9,0,12,0.4,0.0
29,1015,248,4,110,901,64,641,200,53,4,92,260,48,11,0,18,0.45,0.0
30,1162,299,4,148,1010,72,676,239,61,4,123,334,60,11,0,25,0.51,0.0
31,1287,369,4,185,1098,71,703,287,61,4,152,395,82,10,0,33,0.55,0.0
32,1405,426,5,229,1171,92,712,324,73,4,188,459,102,19,1,41,0.59,0.0
33,1531,508,5,292,1234,93,725,365,71,4,236,509,143,22,1,56,0.62,0.0
34,1628,569,5,359,1264,100,718,395,71,4,284,546,174,29,1,75,0.63,0.0
35,1716,655,7,428,1281,112,703,444,78,6,331,578,211,34,1,97,0.64,0.0
36,1782,728,7,540,1235,123,664,492,82,6,399,571,236,41,1,141,0.62,0.0
37,1827,796,7,639,1181,139,601,529,90,6,463,580,267,49,1,176,0.59,0.0
38,1876,868,7,760,1109,146,557,570,87,6,535,552,298,59,1,225,0.55,0.0
39,1907,916,9,864,1034,154,498,593,83,8,598,536,323,71,1,266,0.52,0.0
40,1930,981,11,977,942,147,428,612,74,10,671,514,369,73,1,306,0.47,0.01
41,1957,1028,13,1104,840,145,374,638,70,10,736,466,390,75,3,368,0.42,0.01
42,1969,1081,15,1228,726,140,305,657,60,11,814,421,424,80,4,414,0.36,0.01
43,1974,1106,18,1343,613,127,258,662,50,11,869,355,444,77,7,474,0.31,0.01
44,1975,1150,19,1436,520,118,220,675,50,12,904,300,475,68,7,532,0.26,0.01
45,1981,1184,20,1532,429,105,174,690,38,12,954,255,494,67,8,578,0.21,0.01
46,1984,1195,22,1633,329,78,121,695,27,13,1003,208,500,51,9,630,0.16,0.01
47,1986,1200,23,1695,268,65,101,698,23,13,1025,167,502,42,10,670,0.13,0.01
48,1989,1215,24,1749,216,58,80,702,19,13,1047,136,513,39,11,702,0.11,0.01
49,1990,1222,29,1802,159,41,60,706,14,16,1066,99,516,27,13,736,0.08,0.01
50,1992,1227,34,1836,122,29,47,707,10,18,1078,75,520,19,16,758,0.06,0.02
51,1992,1230,36,1861,95,24,32,709,9,19,1093,63,521,15,17,768,0.05,0.02
52,1992,1232,36,1878,78,17,26,710,5,19,1101,52,522,12,17,777,0.04,0.02
53,1993,1234,37,1895,61,14,23,710,4,19,1107,38,524,10,18,788,0.03,0.02
54,1993,1236,39,1910,44,8,13,710,1,20,1115,31,526,7,19,795,0.02,0.02
55,1993,1238,39,1926,28,4,7,711,0,20,1121,21,527,4,19,805,0.01,0.02
56,1993,1238,39,1932,22,2,6,711,0,20,1122,16,527,2,19,810,0.01,0.02
57,1993,1240,39,1943,11,1,1,712,0,20,1126,10,528,1,19,817,0.01,0.02
58,1993,1241,39,1948,6,0,0,712,0,20,1126,6,529,0,19,822,0.0,0.02
59,1993,1241,39,1950,4,0,0,712,0,20,1126,4,529,0,19,824,0.0,0.02
60,1993,1241,39,1952,2,0,0,712,0,20,1127,2,529,0,19,825,0.0,0.02
61,1993,1241,39,1952,2,0,0,712,0,20,1127,2,529,0,19,825,0.0,0.02
62,1993,1241,39,1952,2,0,1,712,0,20,1127,1,529,0,19,825,0.0,0.02
63,1993,1242,39,1952,2,0,1,712,0,20,1127,1,530,0,19,825,0.0,0.02
64,1993,1242,39,1953,1,0,1,712,0,20,1127,0,530,0,19,826,0.0,0.02
65,1993,1242,39,1953,1,0,1,712,0,20,1127,0,530,0,19,826,0.0,0.02
66,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
67,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
68,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
69,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
70,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
71,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
72,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
73,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
74,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
75,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
76,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
77,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
78,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
79,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
80,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
81,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
82,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
83,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
84,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
85,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
86,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
87,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
88,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
89,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
90,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
91,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
92,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
93,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
94,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
95,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
96,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
97,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
98,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
99,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
100,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
101,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
102,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
103,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
104,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
105,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
106,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
107,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
108,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
109,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
110,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
111,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
112,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
113,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
114,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
115,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
116,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
117,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
118,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
119,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
120,1993,1242,39,1954,0,0,0,712,0,20,1128,0,530,0,19,826,0.0,0.02
